id,nDy,yr,n,Dy,Dyr,mL,m,L,Lr,b,br,h,hr,dy,dyr,N,iN
A1,160.694,0.28867513459481287,2.0,80.347,0.14433756729740643,,,,,0.024432523927464624,4.4057422615887423e-05,,,,,1,1.0
A2,163.049,0.28867513459481287,2.0,81.5245,0.14433756729740643,59.571000000000005,6.0,9.928500000000001,0.04811252243246881,0.024079632503112562,4.279868196138573e-05,0.09886085511406556,0.00047931951111677236,4.964250000000001,0.024056261216234404,2,0.5
A3,236.86900000000003,0.28867513459481287,3.0,78.95633333333335,0.09622504486493762,,,,,0.02486285668449649,3.05493613238261e-05,0.0957086441421676,0.004041084602850572,3.4185000000000003,0.14433756729740643,3,0.3333333333333333
A4,123.29700000000001,0.28867513459481287,1.5,82.19800000000001,0.19245008972987523,,,,,0.02388233290347697,5.6040399326441053e-05,0.0996082809011569,0.005836114557505957,2.4635,0.14433756729740643,4,0.25
A5,227.99900000000002,0.28867513459481287,3.0,75.99966666666667,0.09622504486493762,,,,,0.02583011328997057,3.295291051406493e-05,0.09761710591745401,0.007006389394954658,2.011,0.14433756729740643,5,0.2
A6,82.124,0.28867513459481287,1.0,82.124,0.28867513459481287,,,,,0.02390385271053529,8.410793922241253e-05,0.0941525179856115,0.013035735327181951,1.0425,0.14433756729740643,10,0.1
