time,vin,vout
0.0,0.10989549928355948,0.4395819971342379
1.6000000000035083e-09,0.1848924122869135,0.43956964914699626
4.800000000010525e-09,0.3348880566338272,0.43955222653333537
1.1199999999997453e-08,0.6348902545742175,0.4395610182973479
1.6000000000007978e-08,0.85990144775421,0.43960579101684005
1.7280000000016206e-08,0.8599055232298979,0.4396220929195914
1.9840000000005556e-08,0.8599136739441618,0.43965469577664756
2.4960000000011362e-08,0.8599299739501026,0.43971989580041054
3.5200000000022973e-08,0.8599625682724623,0.4398502730898491
5.120000000003095e-08,0.8600134817179186,0.4400539268716742
6.720000000003893e-08,0.8600643766527603,0.44025750661104096
8.320000000004691e-08,0.8601152530837173,0.44046101233486895
9.920000000005489e-08,0.860166111017517,0.4406644440700681
1.1520000000006286e-07,0.8602169504608845,0.44086780184353835
1.3120000000007084e-07,0.8602677714205426,0.44107108568217007
1.4720000000007882e-07,0.8603185739032109,0.4412742956128436
1.632000000000868e-07,0.8603693579156075,0.4414774316624299
1.7920000000009478e-07,0.8604201234644475,0.4416804938577899
1.9520000000010276e-07,0.8604708705564437,0.4418834822257746
2.1120000000011073e-07,0.8605215991983064,0.4420863967932257
2.2720000000011871e-07,0.8605723093967437,0.44228923758697475
2.432000000001267e-07,0.8606230011584609,0.44249200463384364
2.5920000000013467e-07,0.8606736744901612,0.44269469796064465
2.7520000000014265e-07,0.860724329398545,0.44289731759418005
2.9120000000015063e-07,0.8607749658903107,0.4430998635612427
3.072000000001586e-07,0.8608255839721539,0.4433023358886155
3.232000000001666e-07,0.8608761836507679,0.4435047346030715
3.3920000000017456e-07,0.8609267649328436,0.44370705973137436
3.5520000000018254e-07,0.8609773278250694,0.4439093113002777
3.712000000001905e-07,0.8610278723341314,0.4441114893365255
3.872000000001985e-07,0.8610783984667131,0.44431359386685215
4.032000000002065e-07,0.8611289062294956,0.4445156249179823
4.1920000000021445e-07,0.8611793956291577,0.4447175825166306
4.3520000000022243e-07,0.8612298666723756,0.4449194666895023
4.512000000002304e-07,0.8612803193658232,0.4451212774632927
4.672000000002384e-07,0.861330753716172,0.44532301486468767
4.832000000002464e-07,0.8613811697300908,0.4455246789203631
4.992000000002543e-07,0.8614315674142463,0.4457262696569855
5.152000000002623e-07,0.8614819467753028,0.4459277871012113
5.312000000002703e-07,0.8615323078199218,0.44612923127968745
5.472000000002783e-07,0.8615826505547628,0.4463306022190513
5.632000000002863e-07,0.8616329749864826,0.4465318999459304
5.792000000002942e-07,0.8616832811217356,0.44673312448694247
5.952000000003022e-07,0.861733568967174,0.4469342758686959
6.112000000003102e-07,0.8617838385294473,0.44713535411778926
6.272000000003182e-07,0.8618340898152028,0.44733635926081144
6.432000000003261e-07,0.8618843228310854,0.44753729132434145
6.592000000003341e-07,0.8619345375837372,0.44773815033494874
6.752000000003421e-07,0.8619847340797984,0.44793893631919346
6.912000000003501e-07,0.8620349123259065,0.44813964930362576
7.072000000003581e-07,0.8620850723286965,0.44834028931478603
7.23200000000366e-07,0.8621352140948013,0.44854085637920527
7.39200000000374e-07,0.8621853376308511,0.44874135052340475
7.55200000000382e-07,0.862235442943474,0.44894177177389616
7.7120000000039e-07,0.8622855300392953,0.44914212015718147
7.87200000000398e-07,0.8623355989249382,0.4493423956997529
8.032000000004059e-07,0.8623856496070234,0.44954259842809324
8.192000000004139e-07,0.8624356820921689,0.44974272836867557
8.352000000004219e-07,0.8624856963869909,0.4499427855479634
8.512000000004299e-07,0.8625356924981027,0.4501427699924106
8.672000000004378e-07,0.8625856704321153,0.45034268172846137
8.832000000004458e-07,0.8626356301956376,0.45054252078255025
8.992000000004538e-07,0.8626855717952756,0.45074228718110226
9.152000000004618e-07,0.8627354952376332,0.45094198095053284
9.312000000004698e-07,0.862785400529312,0.4511416021172478
9.472000000004777e-07,0.8628352876769109,0.4513411507076433
9.632000000004857e-07,0.8628851566870265,0.4515406267481059
9.792000000004937e-07,0.8629350075662532,0.45174003026501264
9.952000000005017e-07,0.8629848403211827,0.45193936128473094
1.0112000000005097e-06,0.8630346549584047,0.4521386198336186
1.0272000000005176e-06,0.863084451484506,0.45233780593802375
1.0432000000005256e-06,0.8631342299060712,0.4525369196242851
1.0592000000005336e-06,0.863183990229683,0.45273596091873175
1.0752000000005416e-06,0.8632337324619208,0.4529349298476833
1.0912000000005495e-06,0.8632834566093623,0.45313382643744954
1.1072000000005575e-06,0.8633331626785827,0.4533326507143311
1.1232000000005655e-06,0.8633828506761546,0.45353140270461856
1.1392000000005735e-06,0.8634325206086483,0.4537300824345932
1.1552000000005815e-06,0.8634821724826317,0.45392868993052676
1.1712000000005894e-06,0.8635318063046704,0.4541272252186815
1.1872000000005974e-06,0.8635814220813275,0.4543256883253099
1.2032000000006054e-06,0.8636310198191638,0.454524079276655
1.2192000000006134e-06,0.8636805995247376,0.4547223980989503
1.2352000000006213e-06,0.863730161204605,0.45492064481842
1.2512000000006293e-06,0.8637797048653195,0.4551188194612782
1.2672000000006373e-06,0.8638292305134325,0.45531692205373003
1.2832000000006453e-06,0.8638787381554928,0.4555149526219709
1.2992000000006533e-06,0.8639282277980467,0.4557129111921866
1.3152000000006612e-06,0.8639776994476384,0.4559107977905534
1.3312000000006692e-06,0.8640271531108096,0.45610861244323814
1.3472000000006772e-06,0.8640765887940995,0.4563063551763982
1.3632000000006852e-06,0.8641260065040454,0.4565040260161814
1.3792000000006932e-06,0.8641754062471815,0.4567016249887259
1.3952000000007011e-06,0.8642247880300402,0.45689915212016063
1.4112000000007091e-06,0.8642741518591512,0.45709660743660485
