"Tempo (s)","V1 (V)","V2 (V)"
"-0,0005","0,52","0,46"
"-0,0004996","0,52","0,44"
"-0,0004992","0,52","0,46"
"-0,0004988","0,5","0,46"
"-0,0004984","0,5","0,44"
"-0,000498","0,54","0,44"
"-0,0004976","0,54","0,46"
"-0,0004972","0,52","0,44"
"-0,0004968","0,52","0,44"
"-0,0004964","0,5","0,44"
"-0,000496","0,52","0,46"
"-0,0004956","0,52","0,44"
"-0,0004952","0,52","0,44"
"-0,0004948","0,52","0,46"
"-0,0004944","0,54","0,46"
"-0,000494","0,56","0,46"
"-0,0004936","0,5","0,42"
"-0,0004932","0,52","0,46"
"-0,0004928","0,52","0,46"
"-0,0004924","0,52","0,44"
"-0,000492","0,52","0,44"
"-0,0004916","0,52","0,44"
"-0,0004912","0,5","0,48"
"-0,0004908","0,52","0,44"
"-0,0004904","0,54","0,44"
"-0,00049","0,5","0,48"
"-0,0004896","0,52","0,44"
"-0,0004892","0,52","0,48"
"-0,0004888","0,52","0,46"
"-0,0004884","0,54","0,48"
"-0,000488","0,52","0,44"
"-0,0004876","0,5","0,46"
"-0,0004872","0,5","0,44"
"-0,0004868","0,52","0,46"
"-0,0004864","0,5","0,46"
"-0,000486","0,52","0,46"
"-0,0004856","0,52","0,44"
"-0,0004852","0,52","0,46"
"-0,0004848","0,54","0,48"
"-0,0004844","0,5","0,48"
"-0,000484","0,5","0,44"
"-0,0004836","0,52","0,46"
"-0,0004832","0,5","0,44"
"-0,0004828","0,52","0,46"
"-0,0004824","0,52","0,44"
"-0,000482","0,5","0,44"
"-0,0004816","0,54","0,46"
"-0,0004812","0,52","0,46"
"-0,0004808","0,52","0,46"
"-0,0004804","0,5","0,46"
"-0,00048","0,52","0,46"
"-0,0004796","0,52","0,48"
"-0,0004792","0,52","0,44"
"-0,0004788","0,52","0,42"
"-0,0004784","0,54","0,44"
"-0,000478","0,52","0,46"
"-0,0004776","0,54","0,46"
"-0,0004772","0,5","0,44"
"-0,0004768","0,5","0,5"
"-0,0004764","0,5","0,46"
"-0,000476","0,52","0,48"
"-0,0004756","0,52","0,46"
"-0,0004752","0,5","0,48"
"-0,0004748","0,52","0,46"
"-0,0004744","0,54","0,48"
"-0,000474","0,5","0,48"
"-0,0004736","0,52","0,44"
"-0,0004732","0,5","0,48"
"-0,0004728","0,52","0,46"
"-0,0004724","0,48","0,46"
"-0,000472","0,52","0,46"
"-0,0004716","0,5","0,44"
"-0,0004712","0,5","0,48"
"-0,0004708","0,54","0,46"
"-0,0004704","0,52","0,46"
"-0,00047","0,5","0,44"
"-0,0004696","0,52","0,48"
"-0,0004692","0,52","0,46"
"-0,0004688","0,52","0,42"
"-0,0004684","0,52","0,44"
"-0,000468","0,54","0,48"
"-0,0004676","0,52","0,46"
"-0,0004672","0,52","0,5"
"-0,0004668","0,52","0,46"
"-0,0004664","0,52","0,46"
"-0,000466","0,52","0,46"
"-0,0004656","0,52","0,44"
"-0,0004652","0,52","0,42"
"-0,0004648","0,54","0,44"
"-0,0004644","0,52","0,46"
"-0,000464","0,54","0,44"
"-0,0004636","0,5","0,46"
"-0,0004632","0,52","0,44"
"-0,0004628","0,5","0,44"
"-0,0004624","0,5","0,42"
"-0,000462","0,5","0,46"
"-0,0004616","0,5","0,44"
"-0,0004612","0,52","0,44"
"-0,0004608","0,52","0,44"
"-0,0004604","0,5","0,48"
"-0,00046","0,54","0,46"
"-0,0004596","0,52","0,48"
"-0,0004592","0,52","0,44"
"-0,0004588","0,54","0,46"
"-0,0004584","0,54","0,44"
"-0,000458","0,5","0,44"
"-0,0004576","0,5","0,44"
"-0,0004572","0,54","0,46"
"-0,0004568","0,54","0,44"
"-0,0004564","0,52","0,46"
"-0,000456","0,5","0,46"
"-0,0004556","0,52","0,46"
"-0,0004552","0,5","0,44"
"-0,0004548","0,5","0,46"
"-0,0004544","0,54","0,44"
"-0,000454","0,5","0,42"
"-0,0004536","0,5","0,46"
"-0,0004532","0,52","0,46"
"-0,0004528","0,52","0,44"
"-0,0004524","0,5","0,46"
"-0,000452","0,54","0,46"
"-0,0004516","0,5","0,46"
