id,N,ndy,n,2dy,mL,m
A1,1,160.694,4,,,
A2,2,163.049,4,,59.571,6
A3,3,236.869,6,6.837,,
A4,4,123.297,8,4.927,,
A5,5,227.999,8,3.522,,
A6,10,164.248,2,3.085,,
B4,2,182.663,8,,27.902,5
B5,2,226.151,10,,35.247,11
B6,2,224.741,10,,14.155,6
C4,1,205.574,16,,,
C5,1,53.365,8,,,
C6,1,53.504,8,,,
cabelo,1,101.640,6,,,
