t,tr,Vi,Vir,Vo,Vor
0.0008000000000004532,0.00020084422110563813,484.99999999999994,50.022856215933935,51.49999999999999,5.002771456902663
0.020884422110564266,0.00020084422110563813,518.6446854325417,50.026008798123854,50.61585534835102,5.00268388216754
0.04096884422112808,0.00020084422110563813,559.725963368967,50.03013405604762,50.549790855537786,5.002677394869815
0.06105326633169189,0.00020084422110563813,570.4307345258152,50.03125880204527,51.0034160073311,5.002722097213904
0.0811376884422557,0.00020084422110563813,604.5672194035227,50.03498300883125,52.28335139320074,5.0028502217032695
0.10122211055281952,0.00020084422110563813,643.9691372159842,50.0395418913094,51.260010889969614,5.00274754702174
0.12130653266338333,0.00020084422110563813,677.8964765187758,50.04369073410612,49.903387231100744,5.002614334165175
0.14139095477394714,0.00020084422110563813,690.5032199510187,50.04528502638473,48.59520104540883,5.002489010138559
0.16147537688451097,0.00020084422110563813,720.1244293754895,50.04914329235713,47.22405893344156,5.002360956380752
0.1815597989950748,0.00020084422110563813,760.325998886705,50.05463156504967,47.820076222704955,5.002416204465352
0.2016442211056386,0.00020084422110563813,770.6766776013608,50.05609157032067,46.720745054271944,5.002314798751648
0.2217286432162024,0.00020084422110563813,809.5840780450877,50.061751509206196,42.445257987889235,5.001941069015714
0.24181306532676622,0.00020084422110563813,840.2161367597254,50.066398625495474,41.652584210097274,5.001875390891454
0.26189748743733005,0.00020084422110563813,851.8753724053079,50.068211624027064,39.86795474428176,5.001731657844213
0.2819819095478938,0.00020084422110563813,879.9431544973869,50.07267607343509,38.8680098473246,5.001653626193485
0.30206633165845764,0.00020084422110563813,882.196915814191,50.073040679887384,34.25924988610955,5.001317219674896
0.32215075376902147,0.00020084422110563813,914.8647650312514,50.078427796749985,33.11506815775046,5.001239621789701
0.3422351758795853,0.00020084422110563813,924.580232524392,50.0800668220091,32.219983455192725,5.001180559109364
0.3623195979901491,0.00020084422110563813,944.4970976735434,50.08347971052958,29.00817809788462,5.000980489703202
0.3824040201007129,0.00020084422110563813,973.7484969439442,50.0886209253525,26.045220502207588,5.000812377751762
0.4024884422112767,0.00020084422110563813,971.253701915768,50.08817646458514,22.075952143504303,5.0006119223072805
0.42257286432184055,0.00020084422110563813,967.7374307417649,50.08755191477261,18.930993210009827,5.000473225010447
0.4426572864324043,0.00020084422110563813,983.9256292565865,50.09044557957513,15.837542650314752,5.000354162745438
0.46274170854296814,0.00020084422110563813,984.8382880460154,50.09061011583832,12.383161382878791,5.000241561344019
0.48282613065353197,0.00020084422110563813,1008.1019959945617,50.094854492169,10.472739433471785,5.0001885106144135
0.5029105527640958,0.00020084422110563813,1003.6680886461182,50.09403807017174,6.504284302940099,5.000099305003697
0.5229949748746596,0.00020084422110563813,1001.2824693490564,50.093600258469635,1.7133296806151619,5.00002937783613
