freq,TdB,V1,V2,V1err,V2err,TdBerr,freqerr
10.000,-0.17,1.72,1.69,1,1,9,1
102.35,-0.16,2.06,2.02,1,1,8,1
312.57,-1.13,2.04,1.79,1,1,8,3
1047.6,-20.7,1.87,0.174,1,8,4,1
1149.8,-17.8,1.89,0.244,1,8,3,1
2915.1,-1.47,2.02,1.71,1,1,8,3
10723,-0.15,2.10,2.06,1,1,8,1
100000,0.01,2.06,2.06,1,1,8,1
