id,fenda,N,nDy,n,2dy,mL,m,Dy,Dyr,L,Lr,dy,dyr,b,br,h,hr
B4,B,2,182.66299999999998,4.0,,27.901999999999997,5.0,45.66575,0.07217,5.5804,0.05774,,,0.04299,7e-05,0.17589,0.00182
B5,B,2,226.15099999999998,5.0,,35.247,11.0,45.2302,0.05774,3.20427,0.02624,,,0.0434,6e-05,0.30632,0.00251
B6,B,2,224.74099999999999,5.0,,14.155,6.0,44.9482,0.05774,2.35917,0.04811,,,0.04367,6e-05,0.41605,0.00849
