,t,V1,V2,V1err,V2err,terr
0,-12.500000000000000694,640.0000000000000133,1520.0000000000000178,3.367200000000000057,6.0672000000000001797,0.00125
1,-12.489999999999999367,680.00000000000004885,1120.0000000000001066,3.487200000000000166,4.867200000000000421,0.00125
2,-12.479999999999999774,640.0000000000000133,479.99999999999998224,3.367200000000000057,2.947200000000000008,0.00125
3,-12.4700000000000001815,520.00000000000001776,80.000000000000001665,3.0072000000000000627,1.7472000000000000413,0.00125
4,-12.460000000000000589,479.99999999999998224,0.0,2.8871999999999999535,1.5072000000000000314,0.00125
5,-12.449999999999999262,479.99999999999998224,280.00000000000002665,2.8871999999999999535,2.347200000000000129,0.00125
6,-12.439999999999999669,479.99999999999998224,560.0000000000000533,2.8871999999999999535,3.1872000000000002262,0.00125
7,-12.430000000000000077,560.0000000000000533,760.0000000000000089,3.1272000000000001719,3.7872000000000001056,0.00125
8,-12.420000000000000484,599.9999999999999778,760.0000000000000089,3.2471999999999999478,3.7872000000000001056,0.00125
9,-12.409999999999999157,560.0000000000000533,599.9999999999999778,3.1272000000000001719,3.3072000000000000024,0.00125
10,-12.399999999999999564,560.0000000000000533,479.99999999999998224,3.1272000000000001719,2.947200000000000008,0.00125
11,-12.389999999999999972,560.0000000000000533,400.0000000000000222,3.1272000000000001719,2.707200000000000123,0.00125
12,-12.380000000000000379,520.00000000000001776,400.0000000000000222,3.0072000000000000627,2.707200000000000123,0.00125
13,-12.370000000000000787,520.00000000000001776,479.99999999999998224,3.0072000000000000627,2.947200000000000008,0.00125
14,-12.359999999999999459,560.0000000000000533,560.0000000000000533,3.1272000000000001719,3.1872000000000002262,0.00125
15,-12.349999999999999867,560.0000000000000533,560.0000000000000533,3.1272000000000001719,3.1872000000000002262,0.00125
16,-12.340000000000000274,560.0000000000000533,560.0000000000000533,3.1272000000000001719,3.1872000000000002262,0.00125
17,-12.330000000000000682,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
18,-12.319999999999999354,560.0000000000000533,479.99999999999998224,3.1272000000000001719,2.947200000000000008,0.00125
19,-12.309999999999999762,560.0000000000000533,479.99999999999998224,3.1272000000000001719,2.947200000000000008,0.00125
20,-12.300000000000000169,560.0000000000000533,479.99999999999998224,3.1272000000000001719,2.947200000000000008,0.00125
21,-12.290000000000000577,560.0000000000000533,479.99999999999998224,3.1272000000000001719,2.947200000000000008,0.00125
22,-12.2799999999999992495,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
23,-12.269999999999999657,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
24,-12.260000000000000064,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
25,-12.250000000000000472,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
26,-12.239999999999999145,560.0000000000000533,479.99999999999998224,3.1272000000000001719,2.947200000000000008,0.00125
27,-12.229999999999999552,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
28,-12.2199999999999999595,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
29,-12.210000000000000367,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
30,-12.200000000000000774,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
31,-12.189999999999999447,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
32,-12.1799999999999998546,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
33,-12.170000000000000262,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
34,-12.1600000000000006695,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
35,-12.149999999999999342,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
36,-12.13999999999999975,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
37,-12.130000000000000157,560.0000000000000533,479.99999999999998224,3.1272000000000001719,2.947200000000000008,0.00125
38,-12.1200000000000005645,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
39,-12.109999999999999237,560.0000000000000533,479.99999999999998224,3.1272000000000001719,2.947200000000000008,0.00125
40,-12.099999999999999645,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
41,-12.090000000000000052,560.0000000000000533,479.99999999999998224,3.1272000000000001719,2.947200000000000008,0.00125
42,-12.08000000000000046,560.0000000000000533,479.99999999999998224,3.1272000000000001719,2.947200000000000008,0.00125
43,-12.070000000000000867,560.0000000000000533,479.99999999999998224,3.1272000000000001719,2.947200000000000008,0.00125
44,-12.05999999999999954,560.0000000000000533,479.99999999999998224,3.1272000000000001719,2.947200000000000008,0.00125
45,-12.049999999999999947,560.0000000000000533,479.99999999999998224,3.1272000000000001719,2.947200000000000008,0.00125
46,-12.040000000000000355,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
47,-12.030000000000000762,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
48,-12.019999999999999435,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
49,-12.009999999999999842,560.0000000000000533,520.00000000000001776,3.1272000000000001719,3.0672000000000001173,0.00125
